SKU,target_month,predicted_qty,mae,rmse,mape,model_version,trained_at
BHC153,2026-04,0.0,18.44,30.09,0.4437,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC153,2026-05,0.0,18.44,30.09,0.4437,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC154,2025-12,408.75,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC154,2026-01,193.32,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC154,2026-02,199.86,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC154,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC154,2026-04,19.81,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC154,2026-05,150.01,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC155,2025-12,1107.23,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC155,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC155,2026-02,1550.54,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC155,2026-03,271.87,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC155,2026-04,166.69,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC155,2026-05,601.65,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC156,2025-12,684.07,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC156,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC156,2026-02,731.27,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC156,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC156,2026-04,449.96,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC156,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC157,2025-12,396.35,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC157,2026-01,735.82,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC157,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC157,2026-03,423.29,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC157,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC157,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC158,2025-12,350.9,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC158,2026-01,1157.51,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC158,2026-02,194.33,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC158,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC158,2026-04,143.42,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC158,2026-05,158.69,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC159,2025-12,71.67,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC159,2026-01,384.17,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC159,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC159,2026-03,19.03,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC159,2026-04,42.17,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC159,2026-05,138.83,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC160,2025-12,29.59,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC160,2026-01,1014.18,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC160,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC160,2026-03,17.25,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC160,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC160,2026-05,109.55,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC161,2025-12,300.68,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC161,2026-01,1196.92,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC161,2026-02,1280.77,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC161,2026-03,308.36,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC161,2026-04,1059.02,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC161,2026-05,732.52,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC162,2025-12,464.7,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC162,2026-01,815.21,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC162,2026-02,466.74,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC162,2026-03,758.77,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC162,2026-04,245.34,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC162,2026-05,589.08,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC163,2025-12,350.9,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC163,2026-01,1159.66,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC163,2026-02,194.54,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC163,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC163,2026-04,132.06,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC163,2026-05,142.45,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC164,2025-12,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC164,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC164,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC164,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC164,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC164,2026-05,20.47,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC165,2025-12,798.03,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC165,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC165,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC165,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC165,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC165,2026-05,20.15,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC166,2025-12,344.98,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC166,2026-01,504.55,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC166,2026-02,1209.9,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC166,2026-03,404.84,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC166,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC166,2026-05,522.74,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC167,2025-12,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC167,2026-01,995.23,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC167,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC167,2026-03,85.64,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC167,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC167,2026-05,95.86,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC168,2025-12,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC168,2026-01,292.44,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC168,2026-02,1493.8,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC168,2026-03,238.9,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC168,2026-04,157.09,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC168,2026-05,533.35,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC169,2025-12,892.3,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC169,2026-01,686.91,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC169,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC169,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC169,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC169,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC170,2025-12,310.67,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC170,2026-01,273.9,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC170,2026-02,40.03,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC170,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC170,2026-04,40.52,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC170,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC171,2025-12,293.13,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC171,2026-01,1089.02,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC171,2026-02,430.22,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC171,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC171,2026-04,256.18,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC171,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC172,2025-12,266.1,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC172,2026-01,152.45,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC172,2026-02,872.75,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC172,2026-03,62.21,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC172,2026-04,361.13,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC172,2026-05,38.09,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC173,2025-12,0.0,136.03,187.53,0.9997,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC173,2026-01,0.0,136.03,187.53,0.9997,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC173,2026-02,0.0,136.03,187.53,0.9997,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC173,2026-03,0.0,136.03,187.53,0.9997,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC173,2026-04,0.0,136.03,187.53,0.9997,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC173,2026-05,0.0,136.03,187.53,0.9997,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC174,2025-12,807.39,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC174,2026-01,1017.76,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC174,2026-02,630.66,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC174,2026-03,418.46,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC174,2026-04,41.64,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC174,2026-05,24.34,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC175,2025-12,334.11,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC175,2026-01,1113.6,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC175,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC175,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC175,2026-04,178.41,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC175,2026-05,135.28,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC176,2025-12,644.67,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC176,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC176,2026-02,381.98,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC176,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC176,2026-04,97.76,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC176,2026-05,167.31,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC177,2025-12,300.68,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC177,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC177,2026-02,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC177,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC177,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC177,2026-05,204.55,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC178,2025-12,318.24,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC178,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC178,2026-02,30.91,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC178,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC178,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC178,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC179,2025-12,3062.55,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC179,2026-01,356.63,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC179,2026-02,958.21,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC179,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC179,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC179,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC180,2025-12,300.68,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC180,2026-01,1389.29,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC180,2026-02,1187.15,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC180,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC180,2026-04,1273.39,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC180,2026-05,690.54,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC181,2025-12,2736.29,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC181,2026-01,626.36,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC181,2026-02,952.16,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC181,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC181,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC181,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC182,2025-12,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC182,2026-01,1436.25,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC182,2026-02,1465.79,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC182,2026-03,153.58,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC182,2026-04,681.54,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC182,2026-05,207.24,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC183,2025-12,466.9,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC183,2026-01,989.01,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC183,2026-02,580.6,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC183,2026-03,69.28,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC183,2026-04,337.76,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC183,2026-05,103.58,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC184,2025-12,457.14,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC184,2026-01,223.03,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC184,2026-02,629.42,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC184,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC184,2026-04,428.44,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC184,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC185,2025-12,2926.22,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC185,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC185,2026-02,409.58,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC185,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC185,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC185,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC186,2025-12,868.64,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC186,2026-01,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC186,2026-02,1025.83,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
