SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD362,16061460,20.3,0.0,0.0,0.0,20.3,,,E-1,20.3,0,退货,2025-01
FWD3112,24101663,3048.7,0.0,0.0,100.0,2948.7,2948.7,500.0,2B-3,2948.7,0,,2025-01
FWD6622,23101163,725.0,0.0,0.0,0.0,725.0,725.0,,3A-1,725.0,0,,2025-01
FWD500,23120160,1.0,0.0,0.0,0.0,1.0,3040.3,1000.0,D-2,1.0,0,,2025-01
FWD500,24061260,3299.3,0.0,0.0,260.0,3039.3,,,4C-3,3039.3,0,,2025-01
FWD500K,230801461,2449.2,0.0,0.0,0.0,2449.2,2449.2,,2G-3,2449.2,0,,2025-01
FWD3500E,23082560,225.0,0.0,0.0,100.0,125.0,125.0,,3B-1,125.0,0,,2025-01
FWD3500,24010460,1215.43,0.0,0.0,0.0,1215.43,1215.43,200.0,3B-2,1215.43,0,,2025-01
FWD3502,23110660,833.96,0.0,0.0,75.0,758.96,758.96,500.0,4B-5,758.96,0,,2025-01
FWD3504,24071860,1860.2,0.0,0.0,175.0,1685.2,1685.2,0.0,4D-3,1685.2,0,,2025-01
FWD502,24100860,6316.46,0.0,0.0,778.0,5538.46,5538.46,1000.0,4A-1,5538.46,0,,2025-01
FWD502S,21052960,1900.0,0.0,0.0,0.0,1900.0,1900.0,0.0,2D-1,1900.0,0,,2025-01
FWD502Z,23122762,1625.0,0.0,0.0,0.0,1625.0,1625.0,0.0,4D-2,1625.0,0,,2025-01
FWD503,24060161,467.28,0.0,0.0,125.0,342.28,342.28,600.0,4C-3,342.28,0,,2025-01
FWD504,24100963,2266.8,0.0,0.0,25.0,2241.8,7327.9,1000.0,4B-5,2241.8,0,,2025-01
FWD504,24100963,4945.0,0.0,0.0,0.0,4945.0,,,4A-2,4945.0,0,,2025-01
FWD504,23111660,418.1,0.0,0.0,277.0,141.1,,,3A-1,141.1,0,,2025-01
FWD504,24110262,10.0,0.0,0.0,0.0,10.0,10.0,,D-2,10.0,0,,2025-01
FWD5004B,24081460,10.0,0.0,0.0,0.0,10.0,10.0,,D-2,10.0,0,,2025-01
FWD504Z,24032260,1024.95,0.0,0.0,0.0,1024.95,1024.95,,4A-1,1024.95,0,,2025-01
FWD505,24102160,2982.22,0.0,0.0,175.0,2807.22,2807.22,500.0,4C-2,2807.22,0,,2025-01
FWD506,19041360,22.15,0.0,0.0,0.0,22.15,8112.61,0.0,D-2,22.15,0,,2025-01
FWD506,19041360,14.96,0.0,0.0,0.0,14.96,,,D-2,14.96,0,退货,2025-01
FWD506,19101560,2580.5,0.0,0.0,225.0,2355.5,,,2G-5,2355.5,0,2个零头,2025-01
FWD506,19101560,5720.0,0.0,0.0,0.0,5720.0,,,2G-2,5720.0,0,,2025-01
FWD508,24110863,2479.0,0.0,0.0,150.0,2329.0,2329.0,500.0,2B-4,2329.0,0,,2025-01
FWD510,20122060,334.0,0.0,0.0,50.0,284.0,284.0,472.0,4C-2,284.0,0,,2025-01
FWD510Y,22030462,550.0,0.0,0.0,0.0,550.0,550.0,0.0,4A-3,550.0,0,,2025-01
FWD510W,23091962,750.0,0.0,0.0,100.0,650.0,650.0,0.0,2E-2,650.0,0,,2025-01
FWD520,24062462,2881.6,0.0,0.0,80.6,2801.0,2801.0,841.0,4D-2,2801.0,0,,2025-01
FWD522,24053161,1225.0,0.0,0.0,75.0,1150.0,7166.0,1000.0,4A-1,1150.0,0,,2025-01
FWD522,24112260,6018.0,0.0,0.0,2.0,6016.0,,,4C-2,6016.0,0,,2025-01
FWD5221,23100760,1030.0,0.0,0.0,0.0,1030.0,1030.0,,3A-1,1030.0,0,,2025-01
FWD523,20080560,244.1,0.0,0.0,29.3,214.8,214.8,260.0,4B-5,214.8,0,,2025-01
FWD524,25010660,0.0,4119.0,0.0,25.0,4094.0,4094.0,600.0,4C-1,4094.0,0,,2025-01
FWD524,22030761,340.9,0.0,340.9,0.0,0.0,,,,0.0,0,,2025-01
FWD524A,24051660,780.0,0.0,0.0,0.0,780.0,780.0,,3A-1,780.0,0,,2025-01
FWD524,19062660,600.0,0.0,600.0,0.0,0.0,0.0,,,0.0,0,,2025-01
FWD525,24040763,1967.0,0.0,0.0,100.0,1867.0,1867.0,503.0,3B-3,1867.0,0,,2025-01
FWD530,23121260,3281.3,0.0,0.0,60.0,3221.3,3221.3,709.0,3A-2,3221.3,0,,2025-01
FWD532,24102262,4396.6,0.0,0.0,800.0,3596.6,3596.6,958.0,4C-2,3596.6,0,,2025-01
FWD550,22120160,1592.75,0.0,0.0,25.0,1567.75,1567.75,511.0,4B-4,1567.75,0,,2025-01
FWD550K,21071060,698.9,0.0,0.0,0.0,698.9,698.9,,2B-1,698.9,0,,2025-01
FWD552,19052060,1700.0,0.0,0.0,0.0,1700.0,1700.0,,4C-4,1700.0,0,,2025-01
FWD534,24080361,3361.0,0.0,0.0,50.0,3311.0,3311.0,500.0,4B-3,3311.0,0,,2025-01
FWD535,21120862,1044.3,0.0,0.0,0.0,1044.3,1044.3,342.0,4A-3,1044.3,0,,2025-01
FWD5516,24102960,1864.85,0.0,0.0,100.0,1764.85,1764.85,,4A-3,1764.85,0,,2025-01
FWD5518,24091860,3193.95,0.0,0.0,300.0,2893.95,2893.95,892.0,3A-2,2893.95,0,,2025-01
FWD5518,24031560,25.0,0.0,0.0,25.0,0.0,,,,0.0,0,,2025-01
FWD5519,21120861,1075.0,0.0,0.0,0.0,1075.0,1075.0,282.0,3B-5,1075.0,0,,2025-01
FWD5727,19032463,300.0,0.0,0.0,0.0,300.0,300.0,,4E-4,300.0,0,,2025-01
FWD400B,24110462,383.1,0.0,0.0,50.0,333.1,333.1,350.0,4B-1,333.1,0,,2025-01
FWD400C,19081861,253.45,0.0,0.0,0.0,253.45,253.45,0.0,2C-4,253.45,0,,2025-01
FWD408,21062360,1964.55,0.0,0.0,13.0,1951.55,1951.55,543.0,2D-2,1951.55,0,,2025-01
FWD408C,22062960,250.0,0.0,0.0,0.0,250.0,250.0,,3B-5,250.0,0,,2025-01
FWD410,24120260,3877.4,0.0,0.0,150.0,3727.4,3727.4,500.0,3A-1,3727.4,0,,2025-01
FWD411,23112860,725.0,0.0,0.0,175.0,550.0,550.0,500.0,4D-3,550.0,0,,2025-01
FWD415Y,20040761,296.75,0.0,0.0,15.0,281.75,281.75,0.0,3A-1,281.75,0,15kg装,2025-01
FWD415Y,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,~,2025-01
FWD430,21032761,1758.6,0.0,0.0,100.0,1658.6,1658.6,334.0,3A-1,1658.6,0,,2025-01
FWD416,24041560,743.5,0.0,0.0,27.0,716.5,716.5,0.0,2E-1,716.5,0,,2025-01
FWD416C,25011061,0.0,1270.0,50.0,0.0,1220.0,1220.0,0.0,2F-4,1220.0,0,,2025-01
FWD416C,24072960,270.0,0.0,170.0,100.0,0.0,,,,0.0,0,,2025-01
FWD417,24122360,1457.0,0.0,0.0,0.0,1457.0,1457.0,0.0,4D-3,1457.0,0,,2025-01
FWD418B,23120560,1355.68,0.0,275.0,40.0,1040.68,1040.68,289.0,4D-4,1040.68,0,,2025-01
FWD418C,21010560,71.7,0.0,0.0,0.0,71.7,71.7,0.0,4A-3,71.7,0,,2025-01
FWD419B,24091960,1549.35,0.0,218.45,125.0,1205.9,1205.9,500.0,4B-3,1205.9,0,,2025-01
FWD419C,24080362,855.0,0.0,124.0,200.0,531.0,531.0,0.0,3B-4,531.0,0,,2025-01
FWD419Y,21010960,258.3,0.0,0.0,20.0,238.3,238.3,0.0,2C-1,238.3,0,20kg装,2025-01
FWD421,24120961,2450.0,0.0,0.0,50.0,2400.0,2400.0,500.0,4B-5,2400.0,0,,2025-01
FWD421Y,24110861,311.0,0.0,0.0,40.0,271.0,271.0,100.0,2C-4,271.0,0,20kg装,2025-01
FWD421D,24112860,450.0,0.0,0.0,0.0,450.0,450.0,0.0,4B-1,450.0,0,,2025-01
FWD421C,24030662,400.0,0.0,0.0,0.0,400.0,400.0,0.0,4B-1,400.0,0,,2025-01
FWD422B,18032760,100.0,0.0,20.8,0.0,79.2,79.2,,4D-1,79.2,0,,2025-01
FWD424,21080560,2540.0,0.0,0.0,0.0,2540.0,2540.0,106.0,4B-3,2540.0,0,,2025-01
FWD425,24111160,3525.0,0.0,0.0,180.0,3345.0,3345.0,500.0,4A-2,3345.0,0,,2025-01
FWD425C,25010360,0.0,1379.0,0.0,0.0,1379.0,1379.0,0.0,4A-3,1379.0,0,,2025-01
FWD425C,23110262,0.9,0.0,0.9,0.0,0.0,,,,0.0,0,,2025-01
FWD425Y,2412256120,73.0,0.0,0.0,0.0,73.0,73.0,42.0,2E-2,73.0,0,20kg装,2025-01
FWD425B,18061860,849.0,0.0,99.0,0.0,750.0,750.0,500.0,4C-3,750.0,0,,2025-01
FWD426C,19101061,429.15,0.0,0.0,0.0,429.15,429.15,,2E-1,429.15,0,,2025-01
FWD427,24090561,560.0,0.0,0.0,560.0,0.0,3910.0,713.0,,0.0,0,,2025-01
FWD427,24090561,4000.0,0.0,0.0,90.0,3910.0,,,2B-3,3910.0,0,,2025-01
