SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD3307A,24040862,2300.0,0.0,0.0,500.0,1800.0,1800.0,500.0,2C-2,1800.0,0,,2025-02
FWD308,23122861,1270.8,0.0,0.0,51.0,1219.8,1219.8,500.0,2C-2,1219.8,0,,2025-02
FWD302,24102863,11581.5,0.0,0.0,25.0,11556.5,15158.0,2000.0,4D-3,11556.5,0,2个零头,2025-02
FWD302,24102863,4128.5,0.0,0.0,527.0,3601.5,,,4C-2,3601.5,0,,2025-02
FWD3302,24082960,1505.0,0.0,0.0,0.0,1505.0,1505.0,150.0,2E-2,1505.0,0,,2025-02
FWD323,24110162,2772.95,0.0,0.0,2770.0,2.95,2.95,1000.0,A1货架,2.95,0,,2025-02
FWD323,24111262,694.0,0.0,0.0,200.0,494.0,494.0,,2E-1,494.0,0,,2025-02
FWD323Y,24111263,368.0,0.0,0.0,0.0,368.0,368.0,,2C-1,368.0,0,,2025-02
FWD320,25022461,0.0,10893.0,0.0,475.0,10418.0,10418.0,1000.0,3C-2,10418.0,0,,2025-02
FWD320,24070960,560.0,0.0,10.0,550.0,0.0,,,,0.0,0,,2025-02
FWD320K,24040162,2550.0,0.0,0.0,500.0,2050.0,2050.0,,2C-3,2050.0,0,,2025-02
FWD322,25010260,6689.0,0.0,0.0,200.0,6489.0,6489.0,0.0,4A-2,6489.0,0,,2025-02
FWD325,24110560,5362.95,0.0,0.0,0.0,5362.95,6559.95,500.0,2C-2,5362.95,0,,2025-02
FWD325,24110560,3697.0,0.0,0.0,2500.0,1197.0,,,2D-2,1197.0,0,,2025-02
FWD351,24120960,4179.0,0.0,0.0,125.0,4054.0,4054.0,500.0,2E-2,4054.0,0,,2025-02
FWD351Y,24111362,928.0,0.0,0.0,0.0,928.0,928.0,0.0,2C-1,928.0,0,,2025-02
FWD353,23120460,425.0,0.0,0.0,0.0,425.0,5088.0,500.0,2B-3,425.0,0,,2025-02
FWD353,24121660,4788.0,0.0,0.0,125.0,4663.0,,,2D-2,4663.0,0,,2025-02
FWD353Y,24111662,1431.0,0.0,0.0,0.0,1431.0,1431.0,0.0,2F-1,1431.0,0,,2025-02
FWD355,24122362,3151.0,0.0,0.0,25.0,3126.0,3126.0,500.0,2C-4,3126.0,0,,2025-02
FWD355Y,21062361,675.0,0.0,150.0,0.0,525.0,525.0,,3A-1,525.0,0,,2025-02
FWD330,21050560,374.1,0.0,374.1,0.0,0.0,0.0,,,0.0,0,,2025-02
FWD361,21042260,1879.0,0.0,0.0,50.0,1829.0,1829.0,,3A-2,1829.0,0,,2025-02
FWD362,16061460,19.95,0.0,0.0,10.0,9.95,30.25,,D-2,9.95,0,,2025-02
FWD362,16061460,20.3,0.0,0.0,0.0,20.3,,,E-1,20.3,0,退货,2025-02
FWD3112,24101663,2948.7,0.0,0.0,2.0,2946.7,2946.7,500.0,2B-3,2946.7,0,,2025-02
FWD6622,23101163,725.0,0.0,0.0,0.0,725.0,725.0,,3A-1,725.0,0,,2025-02
FWD500,23120160,1.0,0.0,0.0,0.0,1.0,2540.3,1000.0,D-2,1.0,0,,2025-02
FWD500,24061260,3039.3,0.0,0.0,500.0,2539.3,,,4C-3,2539.3,0,,2025-02
FWD500K,230801461,2449.2,0.0,0.0,0.0,2449.2,2449.2,,2G-3,2449.2,0,,2025-02
FWD3500E,23082560,125.0,0.0,0.0,0.0,125.0,125.0,,3B-1,125.0,0,,2025-02
FWD3500,24010460,1215.43,0.0,0.0,0.0,1215.43,1215.43,0.0,3B-2,1215.43,0,,2025-02
FWD3502,23110660,758.96,0.0,0.0,150.0,608.96,608.96,500.0,4B-5,608.96,0,,2025-02
FWD3504,24071860,1685.2,0.0,0.0,0.0,1685.2,1685.2,0.0,4D-3,1685.2,0,,2025-02
FWD502,24100860,5538.46,0.0,0.0,478.0,5060.46,5060.46,1000.0,4A-1,5060.46,0,,2025-02
FWD502S,21052960,1900.0,0.0,0.0,0.0,1900.0,1900.0,0.0,2D-1,1900.0,0,,2025-02
FWD502Z,23122762,1625.0,0.0,0.0,500.0,1125.0,1125.0,0.0,4D-2,1125.0,0,,2025-02
FWD503,24060161,342.28,0.0,0.0,100.0,242.28,242.28,500.0,4C-3,242.28,0,,2025-02
FWD504,24100963,2241.8,0.0,0.0,1100.0,1141.8,6127.9,1000.0,4B-5,1141.8,0,,2025-02
FWD504,24100963,4945.0,0.0,0.0,0.0,4945.0,,,4A-2,4945.0,0,,2025-02
FWD504,23111660,141.1,0.0,0.0,100.0,41.1,,,3A-1,41.1,0,,2025-02
